,sensor mode,resolution,codec,sampling,framerate,aspect ratio,bit depth,datarate,128GB,file format,media type,comment,Unnamed: 12
0,FF,4K DCI (4096 x 2160),ProRes RAW HQ,,60p,17:9,12 bit,,6 min,MOV,SSD,on external recorder,
1,FF,4K DCI (4096 x 2160),ProRes RAW HQ,,50p,17:9,12 bit,,6 min,MOV,SSD,on external recorder,
2,FF,4K DCI (4096 x 2160),ProRes RAW HQ,,30p,17:9,12 bit,,6 min,MOV,SSD,on external recorder,
3,FF,4K DCI (4096 x 2160),ProRes RAW HQ,,25p,17:9,12 bit,,7 min,MOV,SSD,on external recorder,
4,FF,4K DCI (4096 x 2160),ProRes RAW HQ,,24p,17:9,12 bit,,7 min,MOV,SSD,on external recorder,
5,FF,4K DCI (4096 x 2160),ProRes RAW,,60p,17:9,12 bit,,6 min,MOV,SSD,on external recorder,
6,FF,4K DCI (4096 x 2160),ProRes RAW,,50p,17:9,12 bit,,6 min,MOV,SSD,on external recorder,
7,FF,4K DCI (4096 x 2160),ProRes RAW,,30p,17:9,12 bit,,6 min,MOV,SSD,on external recorder,
8,FF,4K DCI (4096 x 2160),ProRes RAW,,25p,17:9,12 bit,,7 min,MOV,SSD,on external recorder,
9,FF,4K DCI (4096 x 2160),ProRes RAW,,24p,17:9,12 bit,,7 min,MOV,SSD,on external recorder,
10,FF,4K DCI (4096 x 2160),XAVC-I,4:2:2,60p,17:9,10 bit,600 Mb/s,27 min,MXF,"CFexpress Type A, SD",,
11,FF,4K DCI (4096 x 2160),XAVC-I,4:2:2,50p,17:9,10 bit,500 Mb/s,32 min,MXF,"CFexpress Type A, SD",,
12,FF,4K DCI (4096 x 2160),XAVC-I,4:2:2,30p,17:9,10 bit,300 Mb/s,53 min,MXF,"CFexpress Type A, SD",,
13,FF,4K DCI (4096 x 2160),XAVC-I,4:2:2,25p,17:9,10 bit,250 Mb/s,63 min,MXF,"CFexpress Type A, SD",,
14,FF,4K DCI (4096 x 2160),XAVC-I,4:2:2,24p,17:9,10 bit,240 Mb/s,66 min,MXF,"CFexpress Type A, SD",,
15,FF,4K UHD (3840 x 2160),ProRes RAW HQ,,60p,16:9,12 bit,,6 min,MOV,SSD,on external recorder,
16,FF,4K UHD (3840 x 2160),ProRes RAW HQ,,50p,16:9,12 bit,,6 min,MOV,SSD,on external recorder,
17,FF,4K UHD (3840 x 2160),ProRes RAW HQ,,30p,16:9,12 bit,,6 min,MOV,SSD,on external recorder,
18,FF,4K UHD (3840 x 2160),ProRes RAW HQ,,25p,16:9,12 bit,,7 min,MOV,SSD,on external recorder,
19,FF,4K UHD (3840 x 2160),ProRes RAW HQ,,24p,16:9,12 bit,,7 min,MOV,SSD,on external recorder,
20,FF,4K UHD (3840 x 2160),ProRes RAW,,60p,16:9,12 bit,,6 min,MOV,SSD,on external recorder,
21,FF,4K UHD (3840 x 2160),ProRes RAW,,50p,16:9,12 bit,,6 min,MOV,SSD,on external recorder,
22,FF,4K UHD (3840 x 2160),ProRes RAW,,30p,16:9,12 bit,,6 min,MOV,SSD,on external recorder,
23,FF,4K UHD (3840 x 2160),ProRes RAW,,25p,16:9,12 bit,,7 min,MOV,SSD,on external recorder,
24,FF,4K UHD (3840 x 2160),ProRes RAW,,24p,16:9,12 bit,,7 min,MOV,SSD,on external recorder,
25,FF,4K UHD (3840 x 2160),XAVC-I,4:2:2,120p,16:9,10 bit,600 Mb/s,13 min,MXF,"CFexpress Type A, SD",,
26,FF,4K UHD (3840 x 2160),XAVC-I,4:2:2,100p,16:9,10 bit,600 Mb/s,16 min,MXF,"CFexpress Type A, SD",,
27,FF,4K UHD (3840 x 2160),XAVC-I,4:2:2,60p,16:9,10 bit,600 Mb/s,27 min,MXF,"CFexpress Type A, SD",,
28,FF,4K UHD (3840 x 2160),XAVC-I,4:2:2,50p,16:9,10 bit,500 Mb/s,32 min,MXF,"CFexpress Type A, SD",,
29,FF,4K UHD (3840 x 2160),XAVC-I,4:2:2,30p,16:9,10 bit,300 Mb/s,53 min,MXF,"CFexpress Type A, SD",,
30,FF,4K UHD (3840 x 2160),XAVC-I,4:2:2,25p,16:9,10 bit,250 Mb/s,63 min,MXF,"CFexpress Type A, SD",,
31,FF,4K UHD (3840 x 2160),XAVC-I,4:2:2,24p,16:9,10 bit,240 Mb/s,66 min,MXF,"CFexpress Type A, SD",,
32,FF,4K UHD (3840 x 2160),XAVC-L,4:2:0,120p,16:9,8 bit,150 Mb/s,52 min,MXF,"CFexpress Type A, SD",,
33,FF,4K UHD (3840 x 2160),XAVC-L,4:2:0,100p,16:9,8 bit,150 Mb/s,62 min,MXF,"CFexpress Type A, SD",,
34,FF,4K UHD (3840 x 2160),XAVC-L,4:2:0,60p,16:9,8 bit,150 Mb/s,104 min,MXF,"CFexpress Type A, SD",,
35,FF,4K UHD (3840 x 2160),XAVC-L,4:2:0,50p,16:9,8 bit,150 Mb/s,105 min,MXF,"CFexpress Type A, SD",,
36,FF,4K UHD (3840 x 2160),XAVC-L,4:2:0,30p,16:9,8 bit,100 Mb/s,156 min,MXF,"CFexpress Type A, SD",,
37,FF,4K UHD (3840 x 2160),XAVC-L,4:2:0,25p,16:9,8 bit,100 Mb/s,156 min,MXF,"CFexpress Type A, SD",,
38,FF,4K UHD (3840 x 2160),XAVC-L,4:2:0,24p,16:9,8 bit,100 Mb/s,157 min,MXF,"CFexpress Type A, SD",,
