,resolution,codec,sampling,framerate,128GB,aspect ratio,bit depth,datarate,file format,media type,comment,Unnamed: 11
0,6K ANA (4992 x 3744),LongGOP,4:2:0,30p,84 min,4:3,10 bit,200 Mb/s,MOV,SD,,
1,6K ANA (4992 x 3744),LongGOP,4:2:0,25p,84 min,4:3,10 bit,200 Mb/s,MOV,SD,,
2,6K ANA (4992 x 3744),LongGOP,4:2:0,24p,84 min,4:3,10 bit,200 Mb/s,MOV,SD,,
3,4K DCI (4096 x 2160),ALL-I,4:2:2,30p,42 min,17:9,10 bit,400 Mb/s,MOV,SD,,
4,4K DCI (4096 x 2160),ALL-I,4:2:2,25p,42 min,17:9,10 bit,400 Mb/s,MOV,SD,,
5,4K DCI (4096 x 2160),ALL-I,4:2:2,24p,42 min,17:9,10 bit,400 Mb/s,MOV,SD,,
6,4K DCI (4096 x 2160),LongGOP,4:2:0,60p,84 min,17:9,10 bit,200 Mb/s,MOV,SD,,
7,4K DCI (4096 x 2160),LongGOP,4:2:0,50p,84 min,17:9,10 bit,200 Mb/s,MOV,SD,,
8,4K DCI (4096 x 2160),LongGOP,4:2:0,60p,112 min,17:9,8 bit,150 Mb/s,MOV,SD,,
9,4K DCI (4096 x 2160),LongGOP,4:2:0,50p,112 min,17:9,8 bit,150 Mb/s,MOV,SD,,
10,4K DCI (4096 x 2160),LongGOP,4:2:2,30p,112 min,17:9,10 bit,150 Mb/s,MOV,SD,,
11,4K DCI (4096 x 2160),LongGOP,4:2:2,25p,112 min,17:9,10 bit,150 Mb/s,MOV,SD,,
12,4K DCI (4096 x 2160),LongGOP,4:2:2,24p,112 min,17:9,10 bit,150 Mb/s,MOV,SD,,
13,4K DCI (4096 x 2160),LongGOP,4:2:0,60p,169 min,17:9,8 bit,100 Mb/s,MOV,SD,S&Q,
14,4K DCI (4096 x 2160),LongGOP,4:2:0,30p,169 min,17:9,8 bit,100 Mb/s,MOV,SD,,
15,4K DCI (4096 x 2160),LongGOP,4:2:0,25p,169 min,17:9,8 bit,100 Mb/s,MOV,SD,,
16,4K DCI (4096 x 2160),LongGOP,4:2:0,24p,169 min,17:9,8 bit,100 Mb/s,MOV,SD,,
17,4K DCI (4096 x 2160),ALL-I,4:2:2,30p,42 min,17:9,10 bit,400 Mb/s,MOV,SD,,
18,4K DCI (4096 x 2160),ALL-I,4:2:2,25p,42 min,17:9,10 bit,400 Mb/s,MOV,SD,,
19,4K DCI (4096 x 2160),ALL-I,4:2:2,24p,42 min,17:9,10 bit,400 Mb/s,MOV,SD,,
20,4K DCI (4096 x 2160),LongGOP,4:2:0,60p,84 min,17:9,10 bit,200 Mb/s,MOV,SD,,
21,4K DCI (4096 x 2160),LongGOP,4:2:0,50p,84 min,17:9,10 bit,200 Mb/s,MOV,SD,,
