,resolution,codec,sampling,framerate,128GB,aspect ratio,bit depth,datarate,file format,media type,comment,Unnamed: 11
0,4K (4096 x 2160),MPEG-4 AVC/H.264,4:2:2,24p,42 min,17:9,10 bit,400 Mb/s,MP4,SD (UHS II),,
1,4K (4096 x 2160),MPEG-4 AVC/H.264,4:2:0,60p,,17:9,8 bit,150 Mb/s,MP4,SD,,
2,4K (4096 x 2160),MPEG-4 AVC/H.264,4:2:0,50p,,17:9,8 bit,150 Mb/s,MP4,SD,,
3,4K (4096 x 2160),MPEG-4 AVC/H.264,4:2:2,30p,110 min,17:9,10 bit,150 Mb/s,MP4,SD,,
4,4K (4096 x 2160),MPEG-4 AVC/H.264,4:2:2,25p,110 min,17:9,10 bit,150 Mb/s,MP4,SD,,
5,4K (4096 x 2160),MPEG-4 AVC/H.264,4:2:2,24p,110 min,17:9,10 bit,150 Mb/s,MP4,SD,,
6,4K (4096 x 2160),MPEG-4 AVC/H.264,4:2:0,30p,,17:9,8 bit,100 Mb/s,MP4,SD,,
7,4K (4096 x 2160),MPEG-4 AVC/H.264,4:2:0,25p,,17:9,8 bit,100 Mb/s,MP4,SD,,
8,4K (4096 x 2160),MPEG-4 AVC/H.264,4:2:0,24p,166 min,17:9,8 bit,100 Mb/s,MP4,SD,,
9,4K (4096 x 2160),MPEG-4 AVC/H.264,4:2:2,24p,42 min,17:9,10 bit,400 Mb/s,MOV,SD (UHS II),,
10,4K (4096 x 2160),MPEG-4 AVC/H.264,4:2:0,60p,,17:9,8 bit,150 Mb/s,MOV,SD,,
11,4K (4096 x 2160),MPEG-4 AVC/H.264,4:2:0,50p,,17:9,8 bit,150 Mb/s,MOV,SD,,
12,4K (4096 x 2160),MPEG-4 AVC/H.264,4:2:2,30p,,17:9,10 bit,150 Mb/s,MOV,SD,,
13,4K (4096 x 2160),MPEG-4 AVC/H.264,4:2:2,25p,,17:9,10 bit,150 Mb/s,MOV,SD,,
14,4K (4096 x 2160),MPEG-4 AVC/H.264,4:2:2,24p,110 min,17:9,10 bit,150 Mb/s,MOV,SD,,
15,4K (4096 x 2160),MPEG-4 AVC/H.264,4:2:0,30p,,17:9,8 bit,100 Mb/s,MOV,SD,,
16,4K (4096 x 2160),MPEG-4 AVC/H.264,4:2:0,25p,,17:9,8 bit,100 Mb/s,MOV,SD,,
17,4K (4096 x 2160),MPEG-4 AVC/H.264,4:2:0,24p,166 min,17:9,8 bit,100 Mb/s,MOV,SD,,
18,4K UHD (3840 x 2160),MPEG-4 AVC/H.264,4:2:2,30p,42 min,16:9,10 bit,400 Mb/s,MP4,SD (UHS II),,
19,4K UHD (3840 x 2160),MPEG-4 AVC/H.264,4:2:2,25p,42 min,16:9,10 bit,400 Mb/s,MP4,SD (UHS II),,
20,4K UHD (3840 x 2160),MPEG-4 AVC/H.264,4:2:2,24p,42 min,16:9,10 bit,400 Mb/s,MP4,SD (UHS II),,
21,4K UHD (3840 x 2160),MPEG-4 AVC/H.264,4:2:0,60p,110 min,16:9,8 bit,150 Mb/s,MP4,SD,,
22,4K UHD (3840 x 2160),MPEG-4 AVC/H.264,4:2:0,50p,110 min,16:9,8 bit,150 Mb/s,MP4,SD,,
23,4K UHD (3840 x 2160),MPEG-4 AVC/H.264,4:2:2,30p,110 min,16:9,10 bit,150 Mb/s,MP4,SD,,
24,4K UHD (3840 x 2160),MPEG-4 AVC/H.264,4:2:2,25p,110 min,16:9,10 bit,150 Mb/s,MP4,SD,,
25,4K UHD (3840 x 2160),MPEG-4 AVC/H.264,4:2:2,24p,110 min,16:9,10 bit,150 Mb/s,MP4,SD,,
26,4K UHD (3840 x 2160),MPEG-4 AVC/H.264,4:2:0,30p,166 min,16:9,8 bit,100 Mb/s,MP4,SD,,
27,4K UHD (3840 x 2160),MPEG-4 AVC/H.264,4:2:0,25p,166 min,16:9,8 bit,100 Mb/s,MP4,SD,,
28,4K UHD (3840 x 2160),MPEG-4 AVC/H.264,4:2:0,24p,166 min,16:9,8 bit,100 Mb/s,MP4,SD,,
29,4K UHD (3840 x 2160),MPEG-4 AVC/H.265,4:2:0,30p,,16:9,10 bit,72 Mb/s,MP4,SD,HEVC/H.265,
30,4K UHD (3840 x 2160),MPEG-4 AVC/H.265,4:2:0,24p,,16:9,10 bit,72 Mb/s,MP4,SD,HEVC/H.265,
31,4K UHD (3840 x 2160),MPEG-4 AVC/H.265,4:2:0,25p,,16:9,10 bit,72 Mb/s,MP4,SD,HEVC/H.265,
32,4K UHD (3840 x 2160),MPEG-4 AVC/H.264,4:2:2,30p,42 min,16:9,10 bit,400 Mb/s,MOV,SD (UHS II),,
33,4K UHD (3840 x 2160),MPEG-4 AVC/H.264,4:2:2,25p,42 min,16:9,10 bit,400 Mb/s,MOV,SD (UHS II),,
34,4K UHD (3840 x 2160),MPEG-4 AVC/H.264,4:2:2,24p,42 min,16:9,10 bit,400 Mb/s,MOV,SD (UHS II),,
